Model,URL,Price
"Apple iPhone 6 (Gold, 64 GB)",/apple-iphone-6-gold-64-gb/p/itmey3ndwjre2dgf?pid=MOBEYHZ2VSVKHAZH&srno=s_5_97&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBEYHZ2VSVKHAZHJBLAAE&fm=organic&iid=64cf127e-a1da-451f-9026-4afdf33f2ea4.MOBEYHZ2VSVKHAZH.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹25,999"
"Apple iPhone 6 (Silver, 16 GB)",/apple-iphone-6-silver-16-gb/p/itmey3ndwjre2dgf?pid=MOBEYHZ2NUZGCHKN&srno=s_5_98&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBEYHZ2NUZGCHKN7PMDIN&fm=organic&iid=8bb44d59-0ee0-4e50-b823-8104a53742b1.MOBEYHZ2NUZGCHKN.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹36,990"
"Apple iPhone 6 (Silver, 64 GB)",/apple-iphone-6-silver-64-gb/p/itmey3ndwjre2dgf?pid=MOBEYHZ2VRNZZ2J5&srno=s_5_99&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBEYHZ2VRNZZ2J5CTWBYU&fm=organic&iid=c10533fb-359b-4153-b81b-98465f03b44e.MOBEYHZ2VRNZZ2J5.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹43,000"
"Apple iPhone 6 Plus (Silver, 64 GB)",/apple-iphone-6-plus-silver-64-gb/p/itmffg4n8nkzfscq?pid=MOBEYHZ28ZYTRJYM&srno=s_5_100&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBEYHZ28ZYTRJYMJKQZH8&fm=organic&iid=502696b2-0636-4939-96d6-89253c920a42.MOBEYHZ28ZYTRJYM.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹48,999"
"Apple iPhone 6 Plus (Gold, 128 GB)",/apple-iphone-6-plus-gold-128-gb/p/itmffg4n8nkzfscq?pid=MOBEYHZ2JRQ6UVYF&srno=s_5_101&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBEYHZ2JRQ6UVYFSMO9QW&fm=organic&iid=8861ae79-a395-4103-9c89-fb4c54c0726c.MOBEYHZ2JRQ6UVYF.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹59,999"
"Apple iPhone 6 Plus (Silver, 16 GB)",/apple-iphone-6-plus-silver-16-gb/p/itmffg4n8nkzfscq?pid=MOBEYHZ2YBFZTV3S&srno=s_5_102&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBEYHZ2YBFZTV3S3XGP67&fm=organic&iid=108a9629-1123-4654-a5ac-5356826a4b6c.MOBEYHZ2YBFZTV3S.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹40,849"
"Apple iPhone 5C (Yellow, 32 GB)",/apple-iphone-5c-yellow-32-gb/p/itmffg4gdds5tf7d?pid=MOBDPNKCYZGGRQFR&srno=s_5_103&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBDPNKCYZGGRQFR47GS8R&fm=organic&iid=17a717f1-74d9-407e-b63e-6abcb782d75a.MOBDPNKCYZGGRQFR.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹25,999"
"Apple IPhone 4 (Black, 8 GB)",/apple-iphone-4-black-8-gb/p/itmffg4kmdpfp9vn?pid=MOBDKMDBHTTXAHEN&srno=s_5_104&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBDKMDBHTTXAHENNFHVFD&fm=organic&iid=505e802a-4f9d-4fb6-895b-f25b660f42eb.MOBDKMDBHTTXAHEN.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹22,900"
"Apple iPhone 5C (Yellow, 8 GB)",/apple-iphone-5c-yellow-8-gb/p/itmffg4gdds5tf7d?pid=MOBDWXZTVZGU2CTP&srno=s_5_105&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBDWXZTVZGU2CTPVVU61W&fm=organic&iid=287db1a4-1b2c-46ca-979b-ead967f128f8.MOBDWXZTVZGU2CTP.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹37,500"
"Apple iPhone 6 (Space Grey, 64 GB)",/apple-iphone-6-space-grey-64-gb/p/itme8gfcs2dhysgq?pid=MOBEYHZ28FRMNDCW&srno=s_5_106&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBEYHZ28FRMNDCWO9QQEN&fm=organic&iid=f4e1f428-eab5-42ec-b932-12b24a9a696c.MOBEYHZ28FRMNDCW.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹44,999"
"Apple iPhone 4s (Black, 8 GB)",/apple-iphone-4s-black-8-gb/p/itmeuyd8gzcz4rsr?pid=MOBDQD7UHBGZHRPN&srno=s_5_107&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBDQD7UHBGZHRPNRNVDEV&fm=organic&iid=e3bcd7ad-030d-4c0b-9942-f2af32460ddd.MOBDQD7UHBGZHRPN.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹12,999"
"Apple iPhone 4s (White, 8 GB)",/apple-iphone-4s-white-8-gb/p/itmeuyd8gzcz4rsr?pid=MOBDQD7UUUM57Y5W&srno=s_5_108&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBDQD7UUUM57Y5WRJ9V3S&fm=organic&iid=b5e563f7-9dc2-4eeb-9873-a5e7ac095c90.MOBDQD7UUUM57Y5W.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹12,999"
"Apple iPhone 6 Plus (Space Grey, 64 GB)",/apple-iphone-6-plus-space-grey-64-gb/p/itmffg4n8nkzfscq?pid=MOBEYHZ2Z8N6RDFE&srno=s_5_109&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBEYHZ2Z8N6RDFETILTK9&fm=organic&iid=f78708d3-cf87-4bca-b06e-45f16ad152fc.MOBEYHZ2Z8N6RDFE.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹48,999"
"Apple iPhone 6 Plus (Silver, 128 GB)",/apple-iphone-6-plus-silver-128-gb/p/itmffg4n8nkzfscq?pid=MOBEYHZ2RVZHCMQK&srno=s_5_110&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBEYHZ2RVZHCMQKCLJTYY&fm=organic&iid=7d6a825d-b3ca-492f-93d4-7efbd8076a25.MOBEYHZ2RVZHCMQK.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹48,999"
"Apple iPhone 6 Plus (Space Grey, 16 GB)",/apple-iphone-6-plus-space-grey-16-gb/p/itmffg4n8nkzfscq?pid=MOBEYHZ2SSKPYGRK&srno=s_5_111&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBEYHZ2SSKPYGRK4YSWWL&fm=organic&iid=25ac88a7-5937-471d-8601-e6e3787383bb.MOBEYHZ2SSKPYGRK.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹39,999"
"Apple iPhone 6 Plus (Gold, 64 GB)",/apple-iphone-6-plus-gold-64-gb/p/itmffg4n8nkzfscq?pid=MOBEYHZ2XVMKU4QN&srno=s_5_112&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBEYHZ2XVMKU4QNS6LHPO&fm=organic&iid=2c0cc5e9-05c3-4d34-a28c-bb1d40aaf5a5.MOBEYHZ2XVMKU4QN.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹71,500"
"Apple iPhone 5C (Blue, 8 GB)",/apple-iphone-5c-blue-8-gb/p/itmevt7z5zbkswf6?pid=MOBDWXZTZ3DXF3P6&srno=s_5_113&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBDWXZTZ3DXF3P6D2FTHH&fm=organic&iid=d98bdc78-37e7-45e7-a635-662765ec3ef5.MOBDWXZTZ3DXF3P6.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹14,999"
"Apple iPhone 5C (White, 8 GB)",/apple-iphone-5c-white-8-gb/p/itmevt7z5zbkswf6?pid=MOBDWXZTHPFTTRVG&srno=s_5_114&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBDWXZTHPFTTRVGWDK4D6&fm=organic&iid=30b02c54-cdd8-4c0e-9408-cdc7eef7bc16.MOBDWXZTHPFTTRVG.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹14,999"
"Apple iPhone 6 Plus (Space Grey, 128 GB)",/apple-iphone-6-plus-space-grey-128-gb/p/itmffg4n8nkzfscq?pid=MOBEYHZ2VXZM8HZD&srno=s_5_115&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBEYHZ2VXZM8HZDV2GBKZ&fm=organic&iid=e88f1831-5d4f-40aa-9fe1-5d47c4041542.MOBEYHZ2VXZM8HZD.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹56,999"
"Apple iPhone 5s (Gold, 16 GB)",/apple-iphone-5s-gold-16-gb/p/itmeuyd8ngnpzjg8?pid=MOBDPPZZDX8WSPAT&srno=s_5_116&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBDPPZZDX8WSPATJNGARD&fm=organic&iid=6a7aed12-7116-41e9-86a3-d594f03a23c8.MOBDPPZZDX8WSPAT.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹14,999"
"Apple iPhone 5s (Space Grey, 16 GB)",/apple-iphone-5s-space-grey-16-gb/p/itmeuyd8ngnpzjg8?pid=MOBDPPZZPXVDJHSQ&srno=s_5_117&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBDPPZZPXVDJHSQCAKZOA&fm=organic&iid=70be29e3-fbd6-4472-bf2f-2e768b66a36f.MOBDPPZZPXVDJHSQ.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹25,000"
"Apple iPhone 5s (Silver, 16 GB)",/apple-iphone-5s-silver-16-gb/p/itmeuyd8ngnpzjg8?pid=MOBDPPZZVUJRG582&srno=s_5_118&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBDPPZZVUJRG582TINQM7&fm=organic&iid=a9fad6b1-fd00-40eb-b55c-99f4b91ba606.MOBDPPZZVUJRG582.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹25,000"
"Apple iPhone 6 (Silver, 128 GB)",/apple-iphone-6-silver-128-gb/p/itmey3ndwjre2dgf?pid=MOBEYHZ2GY7HDHHG&srno=s_5_119&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBEYHZ2GY7HDHHGH5HYTM&fm=organic&iid=eafa379c-48f9-44c0-ab70-b01da2c477b4.MOBEYHZ2GY7HDHHG.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹49,000"
"Apple iPhone 6 (Space Grey, 16 GB)",/apple-iphone-6-space-grey-16-gb/p/itmey3ndwjre2dgf?pid=MOBEYHZ2YAXZMF2J&srno=s_5_120&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBEYHZ2YAXZMF2JUUFGPR&fm=organic&iid=dedfc8f2-f552-4868-a1ae-ab4ad2723ccd.MOBEYHZ2YAXZMF2J.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹23,990"
"Apple iPhone 5C (Yellow, 16 GB)",/apple-iphone-5c-yellow-16-gb/p/itmffg4gdds5tf7d?pid=MOBDPNKCNPNJA4BQ&srno=s_6_121&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBDPNKCNPNJA4BQNU7SVR&fm=organic&iid=c7b4af99-8be8-40a8-a98e-f7e0fc0fbb27.MOBDPNKCNPNJA4BQ.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹29,990"
"Apple iPhone 5 (White, 16 GB)",/apple-iphone-5-white-16-gb/p/itmdv6es5kddazyn?pid=MOBDKMJE4FTQHRZU&srno=s_6_122&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBDKMJE4FTQHRZUWHPVWA&fm=organic&iid=ad855f6d-e554-4542-8a08-094ebb3943b2.MOBDKMJE4FTQHRZU.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹43,750"
"Apple iPhone 4s (Black, 16 GB)",/apple-iphone-4s-black-16-gb/p/itmffg4kfjdwekyt?pid=MOBDKMDBMFWM2A8D&srno=s_6_123&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBDKMDBMFWM2A8DYLIPHZ&fm=organic&iid=a3230604-bcf9-45b2-8fff-563e25233108.MOBDKMDBMFWM2A8D.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹38,500"
"Apple iPhone 4s (White, 8 GB)",/apple-iphone-4s-white-8-gb/p/itmffg4kfjdwekyt?pid=MOBDKMJE8SUJNQYH&srno=s_6_124&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBDKMJE8SUJNQYHS7RJT9&fm=organic&iid=d5468b69-9693-4289-b4cf-d4481d703815.MOBDKMJE8SUJNQYH.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹38,500"
"Apple iPhone 5C (White, 32 GB)",/apple-iphone-5c-white-32-gb/p/itmevt7z5zbkswf6?pid=MOBDPNKCRDFHBESZ&srno=s_6_125&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBDPNKCRDFHBESZSWDXIS&fm=organic&iid=8cd661d1-9afa-40e6-b443-a488e26640f8.MOBDPNKCRDFHBESZ.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹53,500"
"Apple iPhone 6 (Grey, 128 GB)",/apple-iphone-6-grey-128-gb/p/itmey3ndwjre2dgf?pid=MOBEYHZ2JHVFHFBG&srno=s_6_126&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBEYHZ2JHVFHFBG4NTOOT&fm=organic&iid=359d85ea-4983-4f76-8e0a-558c9079e642.MOBEYHZ2JHVFHFBG.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹52,000"
"Apple iPhone 5C (Pink, 16 GB)",/apple-iphone-5c-pink-16-gb/p/itmevt7z5zbkswf6?pid=MOBDPNKCYZRUPMMC&srno=s_6_127&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBDPNKCYZRUPMMCCRVQFJ&fm=organic&iid=9c49b839-81ab-43cd-b223-de45d9c59a68.MOBDPNKCYZRUPMMC.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹30,490"
